threshold	false_positive_rate	true_positive_rate
0.01	0.021739130434782608	0.9353146853146853
0.02	0.021739130434782608	0.9440559440559441
0.03	0.021739130434782608	0.9458041958041958
0.04	0.021739130434782608	0.9493006993006993
0.05	0.021739130434782608	0.9545454545454546
0.060000000000000005	0.021739130434782608	0.9562937062937062
0.06999999999999999	0.021739130434782608	0.9562937062937062
0.08	0.021739130434782608	0.9562937062937062
0.09	0.021739130434782608	0.9562937062937062
0.09999999999999999	0.02355072463768116	0.9562937062937062
0.11	0.02355072463768116	0.958041958041958
0.12	0.02355072463768116	0.9597902097902098
0.13	0.02355072463768116	0.9597902097902098
0.14	0.02355072463768116	0.9632867132867133
0.15000000000000002	0.02355072463768116	0.9632867132867133
0.16	0.02355072463768116	0.9632867132867133
0.17	0.02355072463768116	0.9632867132867133
0.18000000000000002	0.02355072463768116	0.9632867132867133
0.19	0.02355072463768116	0.9632867132867133
0.2	0.025362318840579712	0.9632867132867133
0.21000000000000002	0.025362318840579712	0.9632867132867133
0.22	0.025362318840579712	0.9632867132867133
0.23	0.025362318840579712	0.9632867132867133
0.24000000000000002	0.025362318840579712	0.9632867132867133
0.25	0.025362318840579712	0.9632867132867133
0.26	0.025362318840579712	0.9632867132867133
0.27	0.025362318840579712	0.9632867132867133
0.28	0.025362318840579712	0.9632867132867133
0.29000000000000004	0.025362318840579712	0.9632867132867133
0.3	0.025362318840579712	0.9632867132867133
0.31	0.025362318840579712	0.965034965034965
0.32	0.02717391304347826	0.965034965034965
0.33	0.02717391304347826	0.965034965034965
0.34	0.02717391304347826	0.9667832167832168
0.35000000000000003	0.02717391304347826	0.9667832167832168
0.36000000000000004	0.02717391304347826	0.9667832167832168
0.37	0.02717391304347826	0.9667832167832168
0.38	0.02717391304347826	0.9667832167832168
0.39	0.02717391304347826	0.9667832167832168
0.4	0.02717391304347826	0.9667832167832168
0.41000000000000003	0.02717391304347826	0.9667832167832168
0.42000000000000004	0.02717391304347826	0.9667832167832168
0.43	0.02717391304347826	0.9667832167832168
0.44	0.02717391304347826	0.9685314685314685
0.45	0.02717391304347826	0.9685314685314685
0.46	0.02717391304347826	0.9685314685314685
0.47000000000000003	0.02717391304347826	0.9685314685314685
0.48000000000000004	0.028985507246376812	0.9685314685314685
0.49	0.028985507246376812	0.9702797202797203
0.5	0.030797101449275364	0.9755244755244755
0.51	0.03260869565217391	0.9772727272727273
0.52	0.03260869565217391	0.9790209790209791
0.53	0.03260869565217391	0.9790209790209791
0.54	0.03260869565217391	0.9790209790209791
0.55	0.03260869565217391	0.9807692307692307
0.56	0.03260869565217391	0.9807692307692307
0.5700000000000001	0.03260869565217391	0.9807692307692307
0.5800000000000001	0.03260869565217391	0.9807692307692307
0.59	0.03260869565217391	0.9807692307692307
0.6	0.03260869565217391	0.9807692307692307
0.61	0.03260869565217391	0.9807692307692307
0.62	0.03260869565217391	0.9807692307692307
0.63	0.03260869565217391	0.9807692307692307
0.64	0.03260869565217391	0.9807692307692307
0.65	0.03260869565217391	0.9807692307692307
0.66	0.03260869565217391	0.9807692307692307
0.67	0.03260869565217391	0.9807692307692307
0.68	0.03260869565217391	0.9807692307692307
0.6900000000000001	0.03260869565217391	0.9807692307692307
0.7000000000000001	0.03260869565217391	0.9807692307692307
0.7100000000000001	0.03260869565217391	0.9807692307692307
0.72	0.03260869565217391	0.9807692307692307
0.73	0.03260869565217391	0.9842657342657343
0.74	0.03260869565217391	0.9842657342657343
0.75	0.03260869565217391	0.9842657342657343
0.76	0.034420289855072464	0.9842657342657343
0.77	0.034420289855072464	0.9842657342657343
0.78	0.034420289855072464	0.9842657342657343
0.79	0.036231884057971016	0.986013986013986
0.8	0.036231884057971016	0.986013986013986
0.81	0.036231884057971016	0.986013986013986
0.8200000000000001	0.036231884057971016	0.986013986013986
0.8300000000000001	0.036231884057971016	0.986013986013986
0.8400000000000001	0.036231884057971016	0.986013986013986
0.85	0.036231884057971016	0.986013986013986
0.86	0.036231884057971016	0.986013986013986
0.87	0.036231884057971016	0.986013986013986
0.88	0.036231884057971016	0.986013986013986
0.89	0.03804347826086957	0.986013986013986
0.9	0.03804347826086957	0.986013986013986
0.91	0.03804347826086957	0.986013986013986
0.92	0.03804347826086957	0.986013986013986
0.93	0.03804347826086957	0.986013986013986
0.9400000000000001	0.03985507246376811	0.986013986013986
0.9500000000000001	0.041666666666666664	0.986013986013986
0.9600000000000001	0.043478260869565216	0.986013986013986
0.97	0.043478260869565216	0.9877622377622378
0.98	0.043478260869565216	0.9877622377622378
0.99	0.04528985507246377	0.9895104895104895
